function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_open_wmemstream	c:@F@p101_open_wmemstream	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wchar.c	libraries/lib_posix/include/p101_posix/p101_wchar.h	yes	yes	yes	open_wmemstream	c:@F@open_wmemstream
p101_regcomp	c:@F@p101_regcomp	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/regex.c	libraries/lib_posix/include/p101_posix/p101_regex.h	yes	yes	yes	regcomp	c:@F@regcomp
p101_regerror	c:@F@p101_regerror	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/regex.c	libraries/lib_posix/include/p101_posix/p101_regex.h	yes	yes	yes	regerror	c:@F@regerror
p101_regexec	c:@F@p101_regexec	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/regex.c	libraries/lib_posix/include/p101_posix/p101_regex.h	yes	yes	yes	regexec	c:@F@regexec
p101_regfree	c:@F@p101_regfree	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/regex.c	libraries/lib_posix/include/p101_posix/p101_regex.h	yes	yes	yes	regfree	c:@F@regfree
p101_rpmatch	c:@F@p101_rpmatch	common-Unix	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_unix/src/stdlib.c	libraries/lib_unix/include/p101_unix/p101_stdlib.h	yes	yes	yes	rpmatch	c:@F@rpmatch
p101_stpcpy	c:@F@p101_stpcpy	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/string.c	libraries/lib_posix/include/p101_posix/p101_string.h	yes	yes	yes	stpcpy	c:@F@stpcpy
p101_stpncpy	c:@F@p101_stpncpy	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/string.c	libraries/lib_posix/include/p101_posix/p101_string.h	yes	yes	yes	stpncpy	c:@F@stpncpy
p101_strcasecmp	c:@F@p101_strcasecmp	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/strings.c	libraries/lib_posix/include/p101_posix/p101_strings.h	yes	yes	yes	strcasecmp	c:@F@strcasecmp
p101_strcasecmp_l	c:@F@p101_strcasecmp_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/strings.c	libraries/lib_posix/include/p101_posix/p101_strings.h	yes	yes	yes	strcasecmp_l	c:@F@strcasecmp_l
p101_strcasestr	c:@F@p101_strcasestr	common-Unix	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_unix/src/string.c	libraries/lib_unix/include/p101_unix/p101_string.h	yes	yes	yes	strcasestr	c:@F@strcasestr
p101_strchrnul	c:@F@p101_strchrnul	common-Unix	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_unix/src/string.c	libraries/lib_unix/include/p101_unix/p101_string.h	yes	yes	yes	strchrnul	c:@F@strchrnul
p101_strcoll_l	c:@F@p101_strcoll_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/string.c	libraries/lib_posix/include/p101_posix/p101_string.h	yes	yes	yes	strcoll_l	c:@F@strcoll_l
p101_strdup	c:@F@p101_strdup	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/string.c	libraries/lib_posix/include/p101_posix/p101_string.h	yes	yes	yes	strdup	c:@F@strdup
p101_strerror_r	c:@F@p101_strerror_r	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/string.c	libraries/lib_posix/include/p101_posix/p101_string.h	yes	yes	yes	strerror_r	c:@F@strerror_r
p101_strncasecmp	c:@F@p101_strncasecmp	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/strings.c	libraries/lib_posix/include/p101_posix/p101_strings.h	yes	yes	yes	strncasecmp	c:@F@strncasecmp
p101_strncasecmp_l	c:@F@p101_strncasecmp_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/strings.c	libraries/lib_posix/include/p101_posix/p101_strings.h	yes	yes	yes	strncasecmp_l	c:@F@strncasecmp_l
p101_strndup	c:@F@p101_strndup	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/string.c	libraries/lib_posix/include/p101_posix/p101_string.h	yes	yes	yes	strndup	c:@F@strndup
p101_strnlen	c:@F@p101_strnlen	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/string.c	libraries/lib_posix/include/p101_posix/p101_string.h	yes	yes	yes	strnlen	c:@F@strnlen
p101_strsep	c:@F@p101_strsep	common-Unix	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_unix/src/string.c	libraries/lib_unix/include/p101_unix/p101_string.h	yes	yes	yes	strsep	c:@F@strsep
p101_strsignal	c:@F@p101_strsignal	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/string.c	libraries/lib_posix/include/p101_posix/p101_string.h	yes	yes	yes	strsignal	c:@F@strsignal
p101_strtok_r	c:@F@p101_strtok_r	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/string.c	libraries/lib_posix/include/p101_posix/p101_string.h	yes	yes	yes	strtok_r	c:@F@strtok_r
p101_strxfrm_l	c:@F@p101_strxfrm_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/string.c	libraries/lib_posix/include/p101_posix/p101_string.h	yes	yes	yes	strxfrm_l	c:@F@strxfrm_l
p101_swab	c:@F@p101_swab	XSI	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix_xsi/src/unistd.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_unistd.h	yes	yes	yes	swab	c:@F@swab
p101_tolower_l	c:@F@p101_tolower_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/ctype.c	libraries/lib_posix/include/p101_posix/p101_ctype.h	yes	yes	yes	tolower_l	c:@F@tolower_l
p101_toupper_l	c:@F@p101_toupper_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/ctype.c	libraries/lib_posix/include/p101_posix/p101_ctype.h	yes	yes	yes	toupper_l	c:@F@toupper_l
